"STATION","NAME","DATE","PRCP","SNOW","SNWD"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-14","0.98","13.6","13.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-15","0.00","0.0","8.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-16","0.00","0.0","5.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-17","0.00","0.0","5.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-18","0.00","0.0","5.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-19","0.00","0.0","5.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-20","0.00","0.0","3.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-21","0.00","0.0",
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-22","0.23","0.5","2.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-23","0.03","0.0","1.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-24","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-25","0.04","0.1","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-26","0.01","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-27","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-28","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-29","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-30","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-03-31","0.02","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-01","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-02","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-03","0.13","3.3","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-04","0.53","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-05","0.13","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-06","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-07","0.26","1.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-08","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-09","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-10","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-11","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-12","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-13","0.02","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-14","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-15","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-16","0.34","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-17","2.07","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-18","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-19","0.05","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-20","0.42","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-21","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-22","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-23","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-24","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-25","0.04","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-26","1.59","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-27","0.10","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-28","0.49","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-04-29","0.00","0.0","0.0"
